KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,人口総数,男,女,世帯総数
1101,1,札幌市中央区,,0,,,248680,112853,135827,141429
11010200,2,札幌市中央区,宮ケ丘（番地）,0,,,5,2,3,2
11010300,2,札幌市中央区,円山,0,,,-,-,-,-
11010400,2,札幌市中央区,円山西町（番地）,0,,,-,-,-,-
11011000,2,札幌市中央区,宮の森,0,,,456,91,365,18
11011100,2,札幌市中央区,盤渓,0,,,254,127,127,52
11011201,3,札幌市中央区,宮の森一条,0,,,4539,1952,2587,2184
1101120101,4,札幌市中央区,宮の森一条一丁目,0,,,88,39,49,34
1101120102,4,札幌市中央区,宮の森一条二丁目,0,,,83,43,40,34
1101120103,4,札幌市中央区,宮の森一条三丁目,0,,,199,79,120,104
1101120104,4,札幌市中央区,宮の森一条四丁目,0,,,153,63,90,119
1101120105,4,札幌市中央区,宮の森一条五丁目,0,,,126,38,88,91
1101120106,4,札幌市中央区,宮の森一条六丁目,0,,,685,285,400,385
1101120107,4,札幌市中央区,宮の森一条七丁目,0,,,282,122,160,121
1101120108,4,札幌市中央区,宮の森一条八丁目,0,,,249,101,148,123
1101120109,4,札幌市中央区,宮の森一条九丁目,0,,,374,179,195,216
1101120110,4,札幌市中央区,宮の森一条十丁目,0,,,606,278,328,302
1101120111,4,札幌市中央区,宮の森一条十一丁目,0,,,199,93,106,97
1101120112,4,札幌市中央区,宮の森一条十二丁目,0,,,160,73,87,64
1101120113,4,札幌市中央区,宮の森一条十三丁目,0,,,169,69,100,68
1101120114,4,札幌市中央区,宮の森一条十四丁目,0,,,99,44,55,46
1101120115,4,札幌市中央区,宮の森一条十五丁目,0,,,275,124,151,116
1101120116,4,札幌市中央区,宮の森一条十六丁目,0,,,406,185,221,182
1101120117,4,札幌市中央区,宮の森一条十七丁目,0,,,295,93,202,36
1101120118,4,札幌市中央区,宮の森一条十八丁目,0,,,91,44,47,46
11011202,3,札幌市中央区,宮の森二条,0,,,5936,2649,3287,2766
1101120201,4,札幌市中央区,宮の森二条一丁目,0,,,124,69,55,66
1101120202,4,札幌市中央区,宮の森二条二丁目,0,,,229,88,141,125
1101120203,4,札幌市中央区,宮の森二条三丁目,0,,,424,189,235,212
1101120204,4,札幌市中央区,宮の森二条四丁目,0,,,409,175,234,257
1101120205,4,札幌市中央区,宮の森二条五丁目,0,,,480,209,271,247
1101120206,4,札幌市中央区,宮の森二条六丁目,0,,,409,170,239,223
1101120207,4,札幌市中央区,宮の森二条七丁目,0,,,476,223,253,240
1101120208,4,札幌市中央区,宮の森二条八丁目,0,,,419,177,242,202
1101120209,4,札幌市中央区,宮の森二条九丁目,0,,,292,133,159,131
1101120210,4,札幌市中央区,宮の森二条十丁目,0,,,428,177,251,166
1101120211,4,札幌市中央区,宮の森二条十一丁目,0,,,260,134,126,103
1101120212,4,札幌市中央区,宮の森二条十二丁目,0,,,174,81,93,73
1101120213,4,札幌市中央区,宮の森二条十三丁目,0,,,351,160,191,133
1101120214,4,札幌市中央区,宮の森二条十四丁目,0,,,37,18,19,14
1101120215,4,札幌市中央区,宮の森二条十五丁目,0,,,300,137,163,124
